participant,session,mode,series,resp<>stimulus_1,resp<>stimulus_2,resp<>stimulus_3,resp<>stimulus_4,resp<>stimulus_5,resp<>stimulus_6,resp<>stimulus_7,resp<>stimulus_8,resp<>stimulus_9,resp<>stimulus_10,resp<>stimulus_11,resp<>stimulus_12,resp<>stimulus_13,resp<>stimulus_14,resp<>stimulus_15,resp<>stimulus_16,resp<>stimulus_17,resp<>stimulus_18,resp<>stimulus_19,resp<>stimulus_20,resp<>stimulus_21,resp<>stimulus_22,resp<>stimulus_23,resp<>stimulus_24,resp<>stimulus_25,resp<>stimulus_26,resp<>stimulus_27,resp<>stimulus_28,resp<>stimulus_29,resp<>stimulus_30,resp<>stimulus_31,resp<>stimulus_32,resp<>stimulus_33,resp<>stimulus_34,resp<>stimulus_35,resp<>stimulus_36,resp<>stimulus_37,resp<>stimulus_38,resp<>stimulus_39,resp<>stimulus_40,,
1,2,A,S,27,-130,162,-74,284,201,-279,-207,-63,-110,-73,-165,-52,195,120,144,226,-359,27,196,140,161,115,-147,-140,20,95,70,-138,30,103,-56,39,28,98,-135,6,-72,-196,33,,25.4375
1,4,A,S,213,30,123,111,260,9,-114,51,2,-59,132,115,29,117,99,13,-212,112,223,177,62,1,91,-35,-58,40,-14,11,260,-36,83,46,-49,18,-70,-87,220,-113,67,43,,
2,3,A,S,422,10,-34,214,93,239,312,-70,166,109,200,51,-4,153,126,139,121,212,117,194,293,235,-115,195,158,160,21,-39,109,20,130,110,236,111,-78,239,137,-51,189,263,,137.75
2,5,A,S,137,78,20,188,127,156,182,142,312,252,90,322,37,104,144,303,119,154,131,142,21,78,194,309,251,165,257,265,114,264,332,182,146,-77,28,-19,122,74,-30,111,,
3,2,A,S,298,193,-21,115,262,339,328,104,-13,213,-73,129,-44,206,71,110,57,131,325,217,37,270,38,60,243,-27,57,137,188,162,282,166,231,215,19,100,43,-38,144,97,,132.85
3,4,A,S,31,293,158,-63,235,71,103,79,194,91,273,43,3,126,73,102,257,229,155,100,198,189,154,-69,135,207,206,-60,-50,270,31,88,335,39,274,3,102,219,256,177,,
4,3,A,S,107,78,30,209,109,209,69,200,15,101,-79,185,59,85,130,149,-76,-42,104,-37,346,151,-3,145,90,129,117,77,75,214,308,276,7,499,258,206,109,-116,176,157,,120.15
4,5,A,S,137,249,253,148,7,37,217,-93,177,19,114,-26,-11,224,39,76,170,245,121,80,177,21,122,139,75,99,206,278,168,52,140,213,54,186,193,29,219,163,54,15,,
5,2,A,S,93,512,96,271,-3,359,85,4,416,114,67,158,268,290,306,190,103,230,178,342,94,162,115,216,438,297,51,286,186,144,99,442,311,110,252,171,417,585,341,657,,224.2875
5,4,A,S,328,85,329,162,60,241,115,53,76,46,36,433,373,554,462,181,448,413,635,19,88,224,141,72,214,70,419,47,313,170,23,100,351,57,226,183,43,246,166,288,,
6,3,A,S,379,250,139,133,348,194,240,203,177,128,185,87,329,335,112,110,613,43,242,221,184,197,347,138,327,318,224,15,301,97,391,187,255,152,239,425,385,188,227,141,,250.875
6,5,A,S,358,20,107,49,168,530,129,113,385,99,-113,134,35,258,297,151,15,146,202,82,351,173,340,91,253,220,454,457,373,515,357,160,489,431,206,467,537,486,1065,274,,
7,2,A,S,37,-21,177,101,169,-109,-150,228,255,-30,0,-53,-33,135,27,37,80,1006,58,-119,280,238,82,178,71,13,-101,285,219,-24,89,38,316,277,108,237,210,133,145,94,,190.2625
7,4,A,S,391,211,224,232,210,151,145,94,179,-47,491,366,335,279,175,170,278,177,207,160,217,236,298,271,290,310,423,324,179,254,461,329,261,369,284,438,281,94,569,222,,
8,3,A,S,297,66,37,198,-23,92,77,17,137,56,125,-44,162,74,81,3,14,133,216,-35,113,25,13,133,56,137,100,181,177,200,292,156,143,108,114,20,-2,90,105,109,,86.4125
8,5,A,S,131,111,271,173,56,140,-34,87,-13,4,112,94,135,34,96,148,68,28,207,-133,77,102,-21,144,52,110,174,-1,-108,-63,59,167,108,-88,73,160,139,-26,45,142,,
